name,description,latitude,longitude
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">13232 W LOS BANCOS DR</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",33.684419,-112.346244
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">12905 S 186TH AVE</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",33.329658,-112.450377
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">3544 W MAGELLAN DR</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",33.877092,-112.136319
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">15744 W MYRTLE AVE</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",33.540818,-112.398183
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">5238 N 125TH AVE</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",26.754176,-80.239322
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">14617 N WINSTON DR</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",33.619167,-111.72292
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">16657 S 21ST ST</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",36.13345,-95.79308
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">41308 N HUDSON TR</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",33.859009,-112.141749
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">39521 N HILLERMAN WY</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",33.843913,-112.099444
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">40127 N ROLLING GREEN WY</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",33.858245,-112.106841
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">13414 W ROSE LN</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",33.526489,-112.348118
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">38310 N 3RD AVE</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",33.510581,-112.078116
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">17494 W DEL WEBB BLVD</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",33.643573,-112.283778
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">16046 E GLENBROOK BLVD</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",33.621917,-111.734563
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">1598 S 220TH DR</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",33.432301,-112.52457
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">1184 N VILLA NUEVA DR</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",33.506708,-112.342291
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">23422 N 118TH LN</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",33.697389,-112.316046
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">12929 W FLEETWOOD LN</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",33.535673,-112.220461
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">41518 N HUDSON TR</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",33.861474,-112.142068
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">4569 W MCLELLAN BLVD</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",33.533022,-112.157238
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">22096 W YAVAPAI ST</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",33.43507,-112.526168
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">4510 E DESERT WIND DR</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",33.315913,-111.986237
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">13410 W JACOBSON DR</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",33.529057,-112.347782
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">6321 W SIERRA ST</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",33.591227,-112.195234
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">9201 W TAYLOR ST</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",33.452268,-112.257378
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">10414 E AKRON ST</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",33.417376,-111.606216
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">14465 N BOSWELL BLVD</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",33.617022,-112.265805
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">539 N 104TH ST</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",33.424497,-111.856388
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">10903 SARATOGA CIR</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",33.616383,-112.295964
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">2613 S 337TH AVE</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",45.579832,-93.203562
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">1633 W KURALT DR</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",33.846506,-112.09467
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">43320 N VISTA HILLS DR</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",31.82569,-106.519675
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">2138 E PRIMROSE PATH</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",33.819985,-112.039903
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">42035 N MOSS SPRINGS RD</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",33.866574,-112.127567
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">10828 E ARCADIA AVE</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",33.413065,-111.596912
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">13534 W MARSHALL AVE</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",33.516101,-112.350498
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">2014 N 109TH DR</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",33.467746,-112.295717
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">11400 N 112TH DR</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",33.586632,-112.301869
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">3740 W JACKSONVILLE DR</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",33.856296,-112.140332
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">8316 S 18TH LN</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",47.243751,-122.548232
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">6426 W CAVEDALE DR</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",33.727649,-112.111961
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">9231 W INDIAN HILLS DR</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",33.623157,-112.257941
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">8540 E MCDOWELL RD</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",33.466147,-111.644897
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">2888 W HALEY DR</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",33.854093,-112.121382
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">41356 N YORKTOWN TR</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",33.860388,-112.115689
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">6207 E DUANE LN</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",33.753876,-111.947536
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">2513 W RED FOX RD</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",33.73979,-112.113091
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">3605 W MEMORIAL DR</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",28.052048,-82.009971
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">11540 W CLOVER WY</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",33.483628,-112.307588
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">13302 E BOSTON ST</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",33.302409,-111.796216
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">13012 N 112TH AVE</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",33.602564,-112.30051
,"<div style=""width:450px; padding-top:0""><p id=""attribution"">Posted by Reophx</p><div id=""post_sub_icons""></div><p style=""color:#666; font-size:.85em"">14403 N YERBA BUENA WY</p><p></p><div id=""footer"" style=""""><a title=""Built for Community Mapping"" href=""http://www.platial.com""><img src=""http://media.geocommons.com/platial/images/logotype_small.jpg"" /></a></div></div>",33.617328,-111.712773
